,avg_shares,avg_comments,avg_expert,popularity_score
15,195.4,47.7,52.9,22.4
161,85.7,35.8,49.3,13.3
134,36.9,38.6,65.6,10.8
35,290.7,4.1,8.5,12.8
139,184.9,43.9,1.7,20.7
56,7.3,28.1,41.4,5.5
121,18.8,21.7,50.4,7
138,43,25.9,20.5,9.6
144,96.2,14.8,38.9,11.4
12,23.8,35.1,65.9,9.2
141,193.7,35.4,75.6,19.2
77,120.5,28.5,14.2,14.2
151,121,8.4,48.7,11.6
67,139.3,14.5,10.2,13.4
117,76.4,0.8,14.8,9.4
140,73.4,17,12.9,10.9
75,16.9,43.7,89.4,8.7
122,224,2.4,15.6,11.6
86,76.3,27.5,16,12
112,175.7,15.4,2.4,14.1
190,39.5,41.1,5.8,10.8
18,69.2,20.5,18.3,11.3
118,125.7,36.9,79.2,15.9
136,25.6,39,9.3,9.5
131,265.2,2.9,43,12.7
123,123.1,34.6,12.4,15.2
115,75.1,35,52.7,12.6
100,222.4,4.3,49.8,11.7
108,13.1,0.4,25.6,5.3
168,215.4,23.6,57.6,17.1
155,4.1,11.6,5.7,3.2
80,76.4,26.7,22.3,11.8
181,218.5,5.4,27.4,12.2
145,140.3,1.9,9,10.3
36,266.9,43.8,5,25.4
